var,med,q025,q975
beta[1],0.1787046590510811,-15.600394945812267,15.629318848046067
beta[2],-5.88460745007783,-7.501961341470256,-4.2834387245149825
beta[3],1.9035821841285763e-4,-0.06556785005702964,0.05292699032681645
beta[4],-0.02886229097443161,-0.07125403213546022,0.01599424096588166
beta[5],9.57875019766508,-4.283479803135917,23.778518551319934
beta[6],-1.0218178802566742,-1.8196231111116599,-0.21897040552346697
collar_int[1],-0.44811594096476204,-1.0478824611348345,0.1386375198588693
collar_int[2],0.4074319257084461,-0.3627094393999128,1.2162163635994008
collar_int[3],0.46910622628438947,-0.09065221167658667,1.0388851505770593
collar_int[4],-0.1854961142700489,-0.8086202520867422,0.43082018824743795
collar_int[5],0.06205758964673365,-0.5088569882051055,0.6275027901038
collar_int[6],-0.05114754021762365,-0.6398141940208811,0.5408994901206884
collar_int[7],0.4846088137605298,-0.08690849546997029,1.059775639717395
collar_int[8],0.2142289180173121,-0.3259658827145916,0.7525211047538791
collar_int[9],-0.7345310247522436,-1.3363380813711314,-0.14789338203758812
collar_int[10],0.43672025250357327,-0.10446464529914831,0.9883384901885096
collar_int[11],-0.5005146463039082,-1.0494319134071464,0.04249847669391611
collar_int[12],-0.8210052826791266,-1.5233613779806077,-0.16144851767379126
collar_int[13],-0.5607293440184793,-1.3069452899459084,0.17019406070715445
collar_int[14],-0.4641352938608487,-1.0747238693316785,0.14019032730508535
collar_int[15],-0.39119915348854095,-1.0126328977694115,0.23547001818474014
collar_int[16],-0.07444064861963741,-0.6923881993742184,0.5400766113422132
collar_int[17],-0.501173274832706,-1.2532534736680288,0.22037143160323625
collar_int[18],0.09340629608901235,-0.5248277365076464,0.7025887284508572
collar_int[19],0.46175140377622736,-0.30072376202436346,1.2397484083464376
collar_int[20],0.27680891607482927,-0.42632419772139474,0.9740034379926501
collar_int[21],0.5433192294232498,-0.07643424083014669,1.1761046101442045
collar_int[22],0.46221694617239323,-0.22314365317138204,1.1980866972765845
collar_int[23],-0.4859353796056657,-1.1268377681093729,0.1439159474290892
collar_int[24],-0.04153576214872649,-0.6893300065377858,0.604689023772161
collar_int[25],-0.1456790353234037,-0.8198341452098756,0.5128322284080264
collar_int[26],-0.14889131032344394,-0.8497280969563004,0.5516798110885057
collar_int[27],-0.45768767436235797,-1.047220752363471,0.10843164375174001
collar_int[28],0.6910039232108312,0.12227949657620785,1.256962558715271
collar_int[29],-0.4926623131105424,-1.220555115851779,0.23033133157441063
collar_int[30],-0.5275720372596715,-1.3452782389000875,0.2625462711240074
collar_int[31],-0.5463629824985337,-1.126539702480571,0.008768483536658433
collar_int[32],0.6426909723395348,0.10037331795449635,1.1995125027750908
collar_int[33],0.6829462543129856,0.14648331495605638,1.2471509579913014
collar_int[34],1.6440397083395162,1.0358221785948853,2.2878842177253462
collar_int[35],0.31288758111744547,-0.2521896477119764,0.8674615791282704
collar_int[36],-0.35912625761688455,-0.8942703304236488,0.18692337628431888
month_int[1],-0.14368581394597701,-0.7249219154152491,0.3576118815993375
month_int[2],-0.277462009304714,-0.7869491659554896,0.13452177063515466
month_int[3],0.16439927939716933,-0.3357967801786916,0.8200641502869177
month_int[4],0.26275160065920267,-0.19806423237592585,0.9256620901175163
month_int[5],0.12373453053476738,-0.29422595126811574,0.6574794762375664
month_int[6],0.2870631302960582,-0.3664619746550353,0.9150043134342213
month_int[7],-0.4414038816247025,-1.0812916651120883,0.03274647200019746
sigma_e,0.9673971666987061,0.8986253008553344,1.0460697694550016
sigma_c,0.628072177266815,0.46273188390909636,0.8527834936974744
sigma_m,0.40410823514242133,0.15700243452068516,1.0749389110311898
lp__,-174.73712401306184,-187.2123529396841,-165.1599167318411
