DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-10-18                22:24:11.993              290.60013882              6974.403332               1508365451.994            0                         899                       2.2083078262E+00          2.1992258502E+00          -2.0786108280E+00         -2.0525803533E+00         1.1713152142E+00          7.3371185303E+02          3.8562248230E+01          -1.1750643253E+00         2.5184629440E+01          1.9057174683E+01          
2017-10-18                22:24:14.891              290.60017236              6974.404137               1508365454.892            0                         899                       2.2806376780E+00          2.2727777221E+00          5.4176410735E+02          5.3607090279E+02          9.8090379937E-01          7.3370411248E+02          3.8562343825E+01          -1.4982884112E+00         2.5184629440E+01          1.9011955943E+01          
2017-10-18                22:24:15.878              290.60018378              6974.404411               1508365455.879            0                         899                       2.2811585305E+00          2.2732357465E+00          5.4176515927E+02          5.3602806126E+02          9.8854536967E-01          7.3374399956E+02          3.8562583923E+01          -1.3198285640E+00         2.5184629440E+01          1.9003383081E+01          
2017-10-18                22:24:16.867              290.60019522              6974.404685               1508365456.867            0                         899                       2.2811585305E+00          2.2732357465E+00          4.3535378194E+02          4.3074354211E+02          9.8854536967E-01          7.3373332528E+02          3.8562583923E+01          -1.1939710229E+00         2.5323161157E+01          1.9034935275E+01          
2017-10-18                22:24:17.834              290.60020641              6974.404954               1508365457.834            0                         899                       1.8930052747E+00          1.8791429664E+00          4.3535378194E+02          4.2570970460E+02          2.0923724692E+00          7.3376610277E+02          3.8562583923E+01          -1.1478900586E+00         2.5433656693E+01          1.9062854401E+01          
2017-10-18                22:24:18.823              290.60021787              6974.405229               1508365458.824            0                         899                       1.8930052747E+00          1.8791429664E+00          4.3773375684E+02          4.2803695764E+02          2.0923724692E+00          7.3370333317E+02          3.8562583923E+01          -1.1504123677E+00         2.5374285957E+01          1.9062524682E+01          
2017-10-18                22:24:19.822              290.60022942              6974.405506               1508365459.822            0                         899                       2.0592727021E+00          2.0484679820E+00          4.3773493695E+02          4.3075761584E+02          1.4960551689E+00          7.3368480839E+02          3.8562916989E+01          -1.1481380321E+00         2.5354495712E+01          1.9063741229E+01          
2017-10-18                22:24:22.940              290.60026552              6974.406372               1508365462.941            0                         899                       1.8844291937E+00          1.8710589929E+00          4.5000866190E+02          4.4034558363E+02          2.0268131587E+00          7.3370879076E+02          3.8563072205E+01          -1.2988522621E+00         2.5433656693E+01          1.9033668682E+01          
2017-10-18                22:24:23.966              290.60027738              6974.406657               1508365463.966            0                         899                       1.9713454693E+00          1.9640952194E+00          4.5000904833E+02          4.4496490292E+02          1.0470169294E+00          7.3371574513E+02          3.8563178309E+01          -1.1373696232E+00         2.5433656693E+01          1.9062177216E+01          
2017-10-18                22:24:24.924              290.60028848              6974.406924               1508365464.925            0                         899                       1.9713515812E+00          1.9641012989E+00          4.5253919023E+02          4.4746667757E+02          1.0470183758E+00          7.3367698093E+02          3.8563529968E+01          -1.1343729496E+00         2.5433656693E+01          1.9063297272E+01          
