DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-10-18                17:44:45.351              290.40608046              6969.745931               1508348685.352            0                         899                       1.7578638530E+00          1.7480583619E+00          5.4134033936E+02          5.3217311717E+02          1.5910238443E+00          7.2228095897E+02          3.0337232514E+01          -1.2134274055E+00         2.1200195312E+01          1.9056979261E+01          
2017-10-18                17:44:46.428              290.40609293              6969.746230               1508348686.429            0                         899                       1.7596764047E+00          1.7497135793E+00          5.4134405249E+02          5.3204086133E+02          1.6150234046E+00          7.2228176536E+02          3.0338068008E+01          -1.1848303080E+00         2.1200195312E+01          1.9058975220E+01          
2017-10-18                17:44:47.516              290.40610551              6969.746532               1508348687.516            0                         899                       1.7596764047E+00          1.7497135793E+00          5.4236493276E+02          5.3304419740E+02          1.6150234046E+00          7.2229766603E+02          3.0338068008E+01          -1.1271832976E+00         2.1200195312E+01          1.9064337345E+01          
2017-10-18                17:44:48.586              290.40611791              6969.746830               1508348688.587            0                         899                       1.7558970952E+00          1.7459333798E+00          5.4236493276E+02          5.3302354416E+02          1.6186647515E+00          7.2229273997E+02          3.0338068008E+01          -1.1204678389E+00         2.1200195312E+01          1.9066622147E+01          
2017-10-18                17:44:49.625              290.40612993              6969.747118               1508348689.626            0                         899                       1.7559343335E+00          1.7459703164E+00          5.4393643697E+02          5.3456789761E+02          1.6186795292E+00          7.2229339963E+02          3.0340425340E+01          -1.0993191067E+00         2.1200195312E+01          1.9068272546E+01          
2017-10-18                17:44:50.674              290.40614207              6969.747410               1508348690.675            0                         899                       1.7542813589E+00          1.7443277338E+00          5.4394798695E+02          5.3458019022E+02          1.6185140021E+00          7.2229655366E+02          3.0343011856E+01          -1.0971632920E+00         2.1200195312E+01          1.9069450896E+01          
2017-10-18                17:44:51.657              290.40615344              6969.747683               1508348691.657            0                         899                       1.7542813589E+00          1.7443277338E+00          5.4523845705E+02          5.3584843602E+02          1.6185140021E+00          7.2231112449E+02          3.0343011856E+01          -1.1372618194E+00         2.1200195312E+01          1.9067554095E+01          
2017-10-18                17:44:52.673              290.40616520              6969.747965               1508348692.673            0                         899                       1.7513221341E+00          1.7415556119E+00          5.4523845705E+02          5.3600753896E+02          1.5906178896E+00          7.2228662109E+02          3.0343011856E+01          -1.1620430946E+00         2.1200195312E+01          1.9062936783E+01          
2017-10-18                17:44:53.681              290.40617687              6969.748245               1508348693.682            0                         899                       1.7513221341E+00          1.7415556119E+00          5.4661104652E+02          5.3735689040E+02          1.5906178896E+00          7.2225545679E+02          3.0343011856E+01          -1.0925175133E+00         2.1200195312E+01          1.9069735028E+01          
2017-10-18                17:44:54.720              290.40618889              6969.748533               1508348694.720            0                         899                       1.7498117075E+00          1.7398285638E+00          5.4661104652E+02          5.3714596004E+02          1.6275117607E+00          7.2226222158E+02          3.0343011856E+01          -1.0904371052E+00         2.1200195312E+01          1.9065845022E+01          
