DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-07-11                16:41:54.467              191.36243597              4592.698463               1499791314.468            2                         899                       2.1478539855E+00          2.1235956106E+00          -2.0786108280E+00         -2.0081641533E+00         3.2400607336E+00          7.1644934446E+02          3.7138038938E+01          -1.1424573289E+00         2.5433656693E+01          1.8980839445E+01          
2017-07-11                16:41:55.450              191.36244735              4592.698736               1499791315.451            2                         899                       2.1478855931E+00          2.1236267049E+00          4.8718233152E+02          4.7067101979E+02          3.2400818517E+00          7.1639367676E+02          3.7139701843E+01          -1.1750643253E+00         2.5433656693E+01          1.8976511002E+01          
2017-07-11                16:41:56.486              191.36245934              4592.699024               1499791316.487            2                         899                       2.1741887710E+00          2.1495651561E+00          4.8718233152E+02          4.7062657439E+02          3.2491103652E+00          7.1639763070E+02          3.7139701843E+01          -1.1986707244E+00         2.5433656693E+01          1.8974943439E+01          
2017-07-11                16:41:57.500              191.36247106              4592.699306               1499791317.500            2                         899                       2.1741887710E+00          2.1495651561E+00          4.8805547593E+02          4.7147004702E+02          3.2491103652E+00          7.1641849260E+02          3.7139701843E+01          -1.3224694476E+00         2.5433656693E+01          1.8950474126E+01          
2017-07-11                16:41:58.487              191.36248250              4592.699580               1499791318.488            2                         899                       2.1722573750E+00          2.1441300449E+00          4.8805547593E+02          4.6915531795E+02          3.7208370756E+00          7.1642974651E+02          3.7139701843E+01          -1.4287196303E+00         2.5433656693E+01          1.8926566168E+01          
2017-07-11                16:41:59.526              191.36249453              4592.699869               1499791319.527            2                         899                       2.1722623325E+00          2.1441349102E+00          4.8926551649E+02          4.7031848076E+02          3.7208408366E+00          7.1643117498E+02          3.7139959727E+01          -1.3756430267E+00         2.5433656693E+01          1.8936725793E+01          
2017-07-11                16:42:00.576              191.36250668              4592.700160               1499791320.577            2                         899                       2.1815897755E+00          2.1535168607E+00          4.8927151736E+02          4.7043876747E+02          3.6974516073E+00          7.1643427726E+02          3.7141471863E+01          -1.1392560005E+00         2.5433656693E+01          1.8977951050E+01          
2017-07-11                16:42:01.601              191.36251854              4592.700445               1499791321.602            2                         899                       2.1815897755E+00          2.1535168607E+00          4.9193831985E+02          4.7300292097E+02          3.6974516073E+00          7.1642743001E+02          3.7141471863E+01          -1.1638540401E+00         2.5433656693E+01          1.8977833274E+01          
2017-07-11                16:42:02.654              191.36253073              4592.700737               1499791322.655            2                         899                       2.1763031823E+00          2.1485142800E+00          4.9193831985E+02          4.7314519562E+02          3.6685666466E+00          7.1643424371E+02          3.7141471863E+01          -1.1474157880E+00         2.5433656693E+01          1.8982703241E+01          
2017-07-11                16:42:03.647              191.36254221              4592.701013               1499791323.647            2                         899                       2.1763031823E+00          2.1485142800E+00          4.9191713482E+02          4.7312481991E+02          3.6685666466E+00          7.1640112345E+02          3.7141471863E+01          -1.1232273168E+00         2.5433656693E+01          1.8983884559E+01          
