DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-08-14                23:04:25.911              225.62807769              5415.073864               1502751865.912            0                         899                       1.8841364346E+00          1.8739263406E+00          5.9474382856E+02          5.8495632200E+02          1.5453985145E+00          7.1721769623E+02          4.6338951111E+01          -1.3766454916E+00         3.2157394409E+01          1.9031810723E+01          
2017-08-14                23:04:26.930              225.62808947              5415.074147               1502751866.930            0                         899                       1.8841364346E+00          1.8739263406E+00          5.9776744195E+02          5.8793017676E+02          1.5453985145E+00          7.1718438721E+02          4.6338951111E+01          -1.1864578724E+00         3.2157394409E+01          1.9060775757E+01          
2017-08-14                23:04:27.927              225.62810102              5415.074424               1502751867.928            0                         899                       1.8810795207E+00          1.8710606817E+00          5.9776744195E+02          5.8809692182E+02          1.5187727279E+00          7.1716459726E+02          4.6338951111E+01          -1.1705909549E+00         3.2157394409E+01          1.9063065990E+01          
2017-08-14                23:04:28.897              225.62811223              5415.074694               1502751868.897            0                         899                       1.8810795207E+00          1.8710606817E+00          5.9824362446E+02          5.8856540078E+02          1.5187727279E+00          7.1707514317E+02          4.6338951111E+01          -1.1555432823E+00         3.2157394409E+01          1.9057809729E+01          
2017-08-14                23:04:29.875              225.62812356              5415.074966               1502751869.876            0                         899                       1.8811176244E+00          1.8709602200E+00          5.9824749691E+02          5.8843703203E+02          1.5398607678E+00          7.1713305381E+02          4.6339762959E+01          -1.2004600463E+00         3.2157394409E+01          1.9038294205E+01          
2017-08-14                23:04:30.832              225.62813463              5415.075231               1502751870.832            0                         899                       1.8811237818E+00          1.8709663290E+00          5.9971906226E+02          5.8988445113E+02          1.5398630823E+00          7.1711369677E+02          4.6340141296E+01          -1.3056754711E+00         3.2157394409E+01          1.9031452166E+01          
2017-08-14                23:04:31.779              225.62814559              5415.075494               1502751871.779            0                         899                       1.8817297580E+00          1.8717696463E+00          5.9971906226E+02          5.9007652006E+02          1.5092982825E+00          7.1712826922E+02          4.6340141296E+01          -1.2754722297E+00         3.2157394409E+01          1.9054733011E+01          
2017-08-14                23:04:32.755              225.62815689              5415.075765               1502751872.755            0                         899                       1.8817297580E+00          1.8717696463E+00          5.9927475396E+02          5.8963935554E+02          1.5092982825E+00          7.1715953256E+02          4.6340141296E+01          -1.1626575064E+00         3.2035353629E+01          1.9064878211E+01          
2017-08-14                23:04:33.736              225.62816824              5415.076038               1502751873.736            0                         899                       1.8822249122E+00          1.8721412041E+00          5.9927475396E+02          5.8952363859E+02          1.5277241147E+00          7.1709091692E+02          4.6340141296E+01          -1.1331873011E+00         3.1908365250E+01          1.9065982819E+01          
2017-08-14                23:04:34.676              225.62817912              5415.076299               1502751874.676            0                         899                       1.8822275781E+00          1.8721438491E+00          6.0063087130E+02          5.9085768358E+02          1.5277251083E+00          7.1713290385E+02          4.6340305000E+01          -1.1436430871E+00         3.1938050845E+01          1.9063717672E+01          
2017-08-14                23:04:35.663              225.62819054              5415.076573               1502751875.663            0                         899                       1.8818539403E+00          1.8720386906E+00          6.0063666386E+02          5.9111894626E+02          1.4871329586E+00          7.1714297182E+02          4.6341514587E+01          -1.1676482602E+00         3.2027107630E+01          1.9063757941E+01          
2017-08-14                23:04:36.730              225.62820289              5415.076869               1502751876.730            0                         899                       1.8818539403E+00          1.8720386906E+00          6.0029193791E+02          5.9077968285E+02          1.4871329586E+00          7.1709925287E+02          4.6341514587E+01          -1.1589818380E+00         3.1908365250E+01          1.9064716668E+01          
2017-08-14                23:04:37.714              225.62821429              5415.077143               1502751877.715            0                         899                       1.8802108427E+00          1.8697576599E+00          6.0029193791E+02          5.9015972756E+02          1.5857199527E+00          7.1709266188E+02          4.6341514587E+01          -1.1666350594E+00         3.1961139641E+01          1.9063984018E+01          
2017-08-14                23:04:38.681              225.62822549              5415.077412               1502751878.682            0                         899                       1.8802108427E+00          1.8697576599E+00          5.9325639108E+02          5.8324293234E+02          1.5857199527E+00          7.1706129466E+02          4.6341514587E+01          -1.1719167975E+00         3.2007317234E+01          1.9063282581E+01          
2017-08-14                23:04:39.717              225.62823748              5415.077699               1502751879.718            0                         899                       1.8819992681E+00          1.8712748403E+00          5.9325944263E+02          5.8299877547E+02          1.6255480851E+00          7.1704243439E+02          4.6342159701E+01          -1.2372385461E+00         3.1908365250E+01          1.9036123705E+01          
2017-08-14                23:04:40.716              225.62824903              5415.077977               1502751880.716            0                         899                       1.8820096340E+00          1.8712851201E+00          5.8783202764E+02          5.7766520459E+02          1.6255521964E+00          7.1706276314E+02          4.6342796326E+01          -1.2477374693E+00         3.1908365250E+01          1.9026412812E+01          
