DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-10-18                16:44:41.328              290.36436723              6968.744814               1508345081.329            0                         899                       1.8245084318E+00          1.8149730635E+00          5.7030438760E+02          5.6124926209E+02          1.4901519469E+00          7.2277979526E+02          2.7071985245E+01          -1.1237123991E+00         1.6468677521E+01          1.9068375063E+01          
2017-10-18                16:44:42.444              290.36438014              6968.745123               1508345082.444            0                         899                       1.8232426128E+00          1.8139912221E+00          5.7030438760E+02          5.6151009696E+02          1.4465555223E+00          7.2277119213E+02          2.7071985245E+01          -1.1257280727E+00         1.6468677521E+01          1.9068091184E+01          
2017-10-18                16:44:43.506              290.36439243              6968.745418               1508345083.506            0                         899                       1.8232426128E+00          1.8139912221E+00          5.7182798540E+02          5.6301020035E+02          1.4465555223E+00          7.2279466844E+02          2.7071985245E+01          -1.1441820291E+00         1.6468677521E+01          1.9066946295E+01          
2017-10-18                16:44:44.559              290.36440462              6968.745711               1508345084.559            0                         899                       1.8222940194E+00          1.8127308288E+00          5.7182819537E+02          5.6271172228E+02          1.4963485086E+00          7.2278206407E+02          2.7072029707E+01          -1.1245424116E+00         1.6468677521E+01          1.9068689359E+01          
2017-10-18                16:44:45.615              290.36441684              6968.746004               1508345085.615            0                         899                       1.8223487914E+00          1.8127851922E+00          5.7301692829E+02          5.6388138903E+02          1.4963675820E+00          7.2275141432E+02          2.7075342178E+01          -1.1332843288E+00         1.6468677521E+01          1.9068156009E+01          
2017-10-18                16:44:46.757              290.36443007              6968.746322               1508345086.758            0                         899                       1.8195062204E+00          1.8105024752E+00          5.7301692829E+02          5.6439745895E+02          1.4105462885E+00          7.2272060814E+02          2.7075342178E+01          -1.1750643253E+00         1.6468677521E+01          1.9068698883E+01          
2017-10-18                16:44:47.805              290.36444220              6968.746613               1508345087.806            0                         899                       1.8195062204E+00          1.8105024752E+00          5.7338052274E+02          5.6475558412E+02          1.4105462885E+00          7.2276783116E+02          2.7075342178E+01          -1.1709897976E+00         1.6468677521E+01          1.9068140927E+01          
2017-10-18                16:44:48.822              290.36445396              6968.746895               1508345088.822            0                         899                       1.8222528082E+00          1.8127417720E+00          5.7338052274E+02          5.6428841801E+02          1.4881789475E+00          7.2278915951E+02          2.7075342178E+01          -1.1417566933E+00         1.6468677521E+01          1.9066915803E+01          
2017-10-18                16:44:49.903              290.36446647              6968.747195               1508345089.903            0                         899                       1.8222800929E+00          1.8127688543E+00          5.5609387013E+02          5.4727582504E+02          1.4881883974E+00          7.2275524094E+02          2.7076992351E+01          -1.1846038719E+00         1.6468677521E+01          1.9068573251E+01          
2017-10-18                16:44:50.966              290.36447877              6968.747491               1508345090.966            0                         899                       1.8573681971E+00          1.8478215087E+00          5.5610241004E+02          5.4741715577E+02          1.4653993559E+00          7.2276623535E+02          2.7078851700E+01          -1.2320321798E+00         1.6468677521E+01          1.9067619324E+01          
2017-10-18                16:44:51.977              290.36449049              6968.747772               1508345091.978            0                         899                       1.8573681971E+00          1.8478215087E+00          5.3493290841E+02          5.2657828121E+02          1.4653993559E+00          7.2278807785E+02          2.7078851700E+01          -1.1723695772E+00         1.6468677521E+01          1.9064392355E+01          
